time,station,cglo,cglo_flag,chim,chim_flag,dd,dd_flag,ddx,ddx_flag,ff,ffam,ffam_flag,ff_flag,ffx,ffx_flag,p,p_flag,pred,pred_flag,rf,rf_flag,rr,rr_flag,rrm,rrm_flag,sh,sh_flag,so,so_flag,tb10,tb10_flag,tb20,tb20_flag,tb50,tb50_flag,tl,tl_flag,tlmax,tlmax_flag,tlmin,tlmin_flag,ts,ts_flag,tsmax,tsmax_flag,tsmin,tsmin_flag,zeitx,zeitx_flag
2019-06-24T00:00+00:00,5904,0,12,0,12,351,12,325,12,4.9,5.1,12,12,9.4,12,995.1,12,,,63,12,0.0,12,0,12,,,0,12,22.6,12,23.0,12,22.5,12,20.7,12,20.7,12,20.5,12,18.6,12,18.6,12,18.3,12,50,12
2019-06-24T00:10+00:00,5904,0,12,0,12,351,12,354,12,4.3,4.5,12,12,9.2,12,995.2,12,,,63,12,0.0,12,0,12,,,0,12,22.6,12,23.0,12,22.5,12,20.7,12,20.7,12,20.7,12,18.6,12,18.6,12,18.6,12,8,12
2019-06-24T00:20+00:00,5904,0,12,0,12,350,12,358,12,4.6,4.7,12,12,8.5,12,995.4,12,,,63,12,0.0,12,0,12,,,0,12,22.5,12,23.0,12,22.5,12,20.6,12,20.6,12,20.6,12,18.6,12,18.6,12,18.5,12,11,12
2019-06-24T00:30+00:00,5904,0,12,0,11,1,12,345,12,4.4,4.6,12,12,8.6,12,995.5,12,,,62,12,0.0,12,0,12,,,0,12,22.5,12,23.0,12,22.5,12,20.6,12,20.6,12,20.6,12,18.7,12,18.7,12,18.6,12,21,12
2019-06-24T00:40+00:00,5904,0,11,0,11,358,12,12,12,4.4,4.5,12,12,7.9,12,995.6,12,,,62,12,0.0,12,0,12,,,0,12,22.5,12,23.0,12,22.5,12,20.6,12,20.6,12,20.6,12,18.7,12,18.7,12,18.7,12,33,12
2019-06-24T00:50+00:00,5904,0,12,0,11,360,12,12,12,5.0,5.1,12,12,9.0,12,995.5,12,,,61,12,0.0,12,0,12,,,0,12,22.5,12,23.0,12,22.5,12,20.6,12,20.6,12,20.6,12,18.7,12,18.8,12,18.7,12,47,12
2019-06-24T01:00+00:00,5904,0,12,0,11,3,12,1,12,4.9,5.0,12,12,8.8,12,995.4,12,,,61,12,0.0,12,0,12,,,0,12,22.4,12,22.9,12,22.5,12,20.5,12,20.6,12,20.5,12,18.6,12,18.7,12,18.6,12,51,12
2019-06-24T01:10+00:00,5904,0,12,0,11,2,12,349,12,3.7,3.9,12,12,7.1,12,995.4,12,,,61,12,0.0,12,0,12,,,0,12,22.4,12,22.9,12,22.5,12,20.5,12,20.5,12,20.5,12,18.5,12,18.6,12,18.4,12,5,12
2019-06-24T01:20+00:00,5904,0,12,0,11,348,12,353,12,3.4,3.5,12,12,6.4,12,995.4,12,,,62,12,0.0,12,0,12,,,0,12,22.4,12,22.9,12,22.5,12,20.4,12,20.5,12,20.4,12,18.4,12,18.6,12,18.4,12,12,12
2019-06-24T01:30+00:00,5904,0,12,0,11,352,12,340,12,3.3,3.4,12,12,6.5,12,995.5,12,,,62,12,0.0,12,0,12,,,0,12,22.4,12,22.9,12,22.5,12,20.2,12,20.3,12,20.1,12,18.3,12,18.4,12,18.3,12,27,12
2019-06-24T01:40+00:00,5904,0,12,0,11,2,12,7,12,4.2,4.3,12,12,8.3,12,995.4,12,,,61,12,0.0,12,0,12,,,0,12,22.3,12,22.9,12,22.5,12,20.3,12,20.3,12,20.2,12,18.4,12,18.4,12,18.3,12,38,12
2019-06-24T01:50+00:00,5904,0,12,0,11,359,12,334,12,3.2,3.4,12,12,7.7,12,995.4,12,,,61,12,0.0,12,0,12,,,0,12,22.3,12,22.9,12,22.5,12,20.2,12,20.3,12,20.2,12,18.5,12,18.6,12,18.4,12,40,12
2019-06-24T02:00+00:00,5904,1,12,0,12,352,12,358,12,3.4,3.5,12,12,6.3,12,995.4,12,,,61,12,0.0,12,0,12,,,0,12,22.3,12,22.9,12,22.5,12,20.2,12,20.2,12,20.2,12,18.4,12,18.4,12,18.4,12,56,12
